date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:33	594/594	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2020:37:04%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/js/sticky.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/js/sticky.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:33	1703/1703	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2020:37:04%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/js/switch.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/js/switch.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:34	68396/68396	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/libs/preline/preline.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/libs/preline/preline.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:34	12093/12093	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2020:37:04%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/js/custom.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/js/custom.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:35	65923/65923	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:56:10%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/libs/simplebar/simplebar.min.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/libs/simplebar/simplebar.min.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:35	49648/49648	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2020:37:04%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/js/custom-switcher.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/js/custom-switcher.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:37	722048/722048	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202023%2020:09:28%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/css/style.css	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/css/style.css	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:39	110438/110438	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/iconfonts/RemixIcons/fonts/remixicon.css	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/iconfonts/RemixIcons/fonts/remixicon.css	(from https://spruko.com/demo/synto/Synto/dist/assets/css/style.css)
13:09:39	494782/494782	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/libs/apexcharts/apexcharts.min.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/libs/apexcharts/apexcharts.min.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:39	202381/202381	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/iconfonts/tabler-icons/webfont/tabler-icons.css	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/iconfonts/tabler-icons/webfont/tabler-icons.css	(from https://spruko.com/demo/synto/Synto/dist/assets/css/style.css)
13:09:41	3910/3910	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/img/menu-bg-images/transparent.png	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/img/menu-bg-images/transparent.png	(from https://spruko.com/demo/synto/Synto/dist/assets/css/style.css)
13:09:42	363862/363862	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/img/landing/1.jpg	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/img/landing/1.jpg	(from https://spruko.com/demo/synto/Synto/dist/assets/css/style.css)
13:09:47	633089/633089	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/img/landing/2.png	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/img/landing/2.png	(from https://spruko.com/demo/synto/Synto/dist/assets/css/style.css)
13:09:47	643973/643973	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/img/authentication/1.png	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/img/authentication/1.png	(from https://spruko.com/demo/synto/Synto/dist/assets/css/style.css)
13:09:57	705684/705684	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jul%202023%2023:24:02%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/img/menu-bg-images/bg-img3.jpg	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/img/menu-bg-images/bg-img3.jpg	(from https://spruko.com/demo/synto/Synto/dist/assets/css/style.css)
